AmountOfGivenCredit,Gender,Education,MaritalStatus,Age,RepaymentStatus,AmountOfBillStatement,AmountOfPreviousPayment,Outcome
20000,Male,High School,Married,38,0,17860,1400,0
330000,Male,University,Married,45,0,86916,3135,0
10000,Male,Graduate School,Single,36,1,8803,2620,1
370000,Male,Graduate School,Married,45,0,123485,10000,0
80000,Male,Graduate School,Single,43,0,84437,3093,0
340000,Male,University,Married,40,0,147943,5169,0
500000,Male,Graduate School,Married,31,1,0,0,1
460000,Male,Graduate School,Married,49,0,293429,13200,0
50000,Male,University,Single,43,0,46594,1768,1
160000,Male,Others,Married,44,0,151394,5500,0
80000,Male,University,Married,47,2,68250,6325,1
210000,Male,High School,Single,48,0,200822,11477,0
30000,Male,High School,Married,35,0,28486,2000,0
30000,Male,University,Single,37,0,31404,1500,1
410000,Male,Graduate School,Married,38,-1,499,0,0
260000,Male,University,Single,35,0,493411,12325,1
50000,Male,University,Married,40,0,50536,1200,0
360000,Male,High School,Married,37,-1,1090,303,0
50000,Male,High School,Married,49,0,48584,2000,0
220000,Male,Graduate School,Married,40,-1,1208,0,0
30000,Male,High School,Single,50,2,53237,0,1
230000,Male,University,Single,50,1,23674,0,1
20000,Male,High School,Married,50,1,18378,0,0
500000,Male,University,Married,45,-1,102690,15599,0
50000,Male,Graduate School,Single,34,0,33499,3800,0
440000,Male,University,Married,49,-2,942,2002,0
140000,Male,Graduate School,Married,50,0,83957,5000,0
480000,Male,Graduate School,Married,49,-2,63701,0,0
20000,Male,University,Single,53,0,17053,2219,1
170000,Male,University,Married,52,3,2184,0,0
260000,Male,University,Married,54,0,212197,7534,0
140000,Male,Graduate School,Single,50,-1,780,0,1
100000,Male,High School,Married,49,0,33333,0,0
220000,Male,High School,Married,65,-1,1193,1525,0
160000,Male,High School,Married,61,-1,390,390,0
20000,Male,University,Married,50,0,17020,1000,0
210000,Male,High School,Married,50,-1,4137,390,1
60000,Male,High School,Married,50,-2,1400,373,0
190000,Male,Graduate School,Married,50,2,36137,1900,1
500000,Male,Graduate School,Single,51,0,79461,3000,0
20000,Male,University,Single,50,0,8639,2000,0
460000,Male,Graduate School,Married,51,1,179442,4,0
460000,Male,High School,Married,61,0,10643,1600,0
300000,Male,High School,Married,56,0,282506,20024,0
490000,Male,University,Married,57,0,59056,2153,0
90000,Male,University,Married,58,0,93737,3600,0
70000,Male,High School,Married,55,2,20205,3000,1
20000,Male,University,Married,55,0,16734,1300,1
20000,Male,University,Married,61,-1,1480,0,0
10000,Male,High School,Single,61,0,7700,1293,1
420000,Male,Graduate School,Married,53,-1,1936,3489,0
200000,Male,University,Married,54,-1,10755,10120,0
500000,Male,Graduate School,Single,58,0,201013,8366,0
150000,Male,Graduate School,Married,55,0,142904,5200,0
50000,Male,High School,Single,58,0,46190,2000,0
180000,Male,University,Married,63,0,47932,2087,0
20000,Male,University,Single,52,0,13874,1238,0
150000,Male,University,Married,52,2,131953,8100,1
50000,Male,High School,Married,60,1,52198,0,0
130000,Male,University,Married,54,0,129049,3000,0
370000,Male,Graduate School,Single,52,0,242132,5600,0
360000,Male,University,Married,58,-1,30155,10541,1
100000,Male,High School,Married,54,0,37082,10000,1
50000,Male,High School,Single,54,0,75804,2785,0
200000,Male,High School,Single,61,0,3030,7007,1
400000,Male,High School,Married,53,0,15090,4004,0
20000,Male,University,Married,56,0,17768,1600,0
500000,Male,Graduate School,Married,55,3,4957,0,1
20000,Male,University,Single,49,0,18260,1621,1
240000,Male,Others,Married,50,0,236470,9560,0
210000,Male,University,Single,52,-2,5649,5425,0
130000,Male,University,Single,54,0,89913,3300,0
130000,Male,High School,Single,49,0,20678,1610,0
360000,Male,Graduate School,Married,49,-1,4698,0,1
50000,Male,Graduate School,Single,55,0,11045,3115,0
500000,Male,Graduate School,Married,54,-1,10287,5084,0
130000,Male,High School,Single,54,2,98285,4300,0
20000,Male,High School,Single,55,0,19978,1594,1
480000,Male,Graduate School,Married,50,-2,0,8389,0
240000,Male,High School,Married,50,0,140233,4754,0
60000,Male,University,Married,51,0,60114,1902,0
450000,Male,Graduate School,Married,61,-1,156875,11000,1
350000,Male,High School,Married,65,-1,188,188,0
130000,Male,University,Married,48,2,121409,6000,1
240000,Male,Graduate School,Married,48,0,234984,9500,0
50000,Male,University,Single,54,2,46431,1756,0
60000,Male,University,Single,53,0,62038,1579,0
20000,Male,Graduate School,Single,50,0,17820,1435,0
30000,Male,University,Married,48,0,26846,1783,0
400000,Male,Graduate School,Married,48,-2,3173,4265,0
400000,Male,Graduate School,Married,50,0,16241,1217,0
200000,Male,Graduate School,Married,48,-1,419,419,0
260000,Male,University,Married,50,0,133208,6400,0
30000,Male,Graduate School,Married,59,-1,390,390,0
30000,Male,Graduate School,Married,52,0,14476,1129,1
270000,Male,Graduate School,Married,54,-1,931,31838,0
260000,Male,High School,Married,48,0,154927,8000,0
210000,Male,University,Married,47,1,0,296,0
500000,Male,Graduate School,Married,51,1,231300,9838,0
50000,Male,University,Married,49,0,48321,1839,1
160000,Male,Graduate School,Married,53,0,205134,1800,0
550000,Male,Graduate School,Married,53,0,201417,7110,0
330000,Male,Graduate School,Married,54,-2,0,41219,0
280000,Male,Graduate School,Married,60,-1,495,4,1
400000,Male,Graduate School,Married,66,0,279579,10700,0
300000,Male,Graduate School,Married,55,0,127480,4810,0
20000,Male,University,Married,56,0,20180,1500,0
280000,Male,Graduate School,Married,39,-1,1585,6416,0
400000,Male,High School,Single,63,-1,52332,42898,0
230000,Male,High School,Married,58,-2,-11,0,0
20000,Male,High School,Single,53,-1,13561,1105,1
50000,Male,High School,Married,55,0,30900,0,1
480000,Male,Graduate School,Married,66,-1,3820,4665,0
360000,Male,Others,Married,50,1,4767,0,0
110000,Male,High School,Married,51,-1,2132,1946,0
150000,Male,Graduate School,Married,51,0,149640,6000,0
50000,Male,University,Married,54,2,49264,2500,1
200000,Male,Graduate School,Married,54,0,205150,0,0
110000,Male,University,Married,49,0,106264,4400,0
100000,Male,Graduate School,Married,55,0,10712,8000,0
20000,Male,Graduate School,Single,50,0,11462,1212,0
30000,Male,University,Married,50,0,28796,1609,0
230000,Male,University,Married,60,0,131550,6057,0
50000,Male,High School,Married,50,2,8917,1468,1
30000,Male,High School,Single,53,0,24181,3000,0
50000,Male,High School,Married,55,-1,1344,1200,0
130000,Male,High School,Married,51,0,124626,4500,0
50000,Male,University,Married,57,0,46540,2770,0
360000,Male,Graduate School,Married,58,-1,1,1001,1
50000,Male,University,Married,56,0,28358,1416,0
150000,Male,Graduate School,Married,54,-2,4015,501,1
240000,Male,University,Married,56,-1,390,390,0
500000,Male,Graduate School,Married,51,-1,8030,13156,0
170000,Male,High School,Married,61,0,167535,6000,0
350000,Male,Graduate School,Married,50,0,93676,3240,0
160000,Male,Graduate School,Married,51,2,150,1230,1
220000,Male,University,Married,50,-2,0,200,0
500000,Male,Others,Married,53,0,431243,11000,0
460000,Male,Graduate School,Married,51,-1,1637,0,0
50000,Male,Graduate School,Married,50,-1,780,0,0
740000,Male,Graduate School,Married,50,0,321279,13000,0
50000,Male,High School,Married,50,-1,7056,2840,0
290000,Male,Graduate School,Married,51,0,225478,10026,0
320000,Male,Graduate School,Single,57,0,234704,11000,0
420000,Male,Graduate School,Married,52,-1,11097,16106,0
500000,Male,High School,Married,50,-1,339,2744,0
450000,Male,Graduate School,Married,52,0,388009,15000,0
120000,Male,Graduate School,Married,54,-2,0,0,0
80000,Male,University,Married,56,0,65186,2800,0
250000,Male,High School,Married,56,-1,6297,8657,0
180000,Male,Graduate School,Married,75,1,0,0,1
260000,Male,High School,Single,52,1,0,0,0
20000,Male,University,Married,52,0,1912,2768,0
220000,Male,High School,Married,63,-2,1293,496,0
90000,Male,Graduate School,Married,61,0,46441,1762,0
210000,Male,University,Married,75,0,205601,9700,0
300000,Male,High School,Married,72,-1,4984,756,0
30000,Male,High School,Married,56,1,30826,0,1
90000,Male,University,Married,55,0,15019,5000,0
300000,Male,High School,Married,56,-2,0,0,1
500000,Male,Graduate School,Married,54,2,518950,39000,1
170000,Female,University,Single,37,-1,1499,53705,0
150000,Female,High School,Single,28,0,100623,4700,0
360000,Female,University,Single,25,-1,20952,12590,0
70000,Female,University,Married,46,0,70349,2600,0
350000,Female,Graduate School,Married,33,-2,6016,4348,0
50000,Female,High School,Married,27,0,29875,4506,0
50000,Female,University,Married,27,1,20293,2000,1
70000,Female,University,Single,26,2,71862,3500,1
30000,Female,University,Married,24,1,29654,0,0
30000,Female,High School,Married,23,0,26117,1737,0
260000,Female,University,Married,37,1,0,312,0
30000,Female,University,Single,22,1,22623,10,1
240000,Female,University,Married,34,-2,0,2712,0
80000,Female,Graduate School,Single,29,2,41355,0,1
40000,Female,Graduate School,Single,27,0,9663,1200,0
130000,Female,Graduate School,Single,30,2,9123,0,1
60000,Female,High School,Single,41,0,56309,3000,0
250000,Female,University,Single,28,-1,500,3344,0
60000,Female,University,Single,25,0,50791,1832,0
390000,Female,Graduate School,Single,27,1,0,0,0
110000,Female,High School,Single,29,1,23258,0,0
30000,Female,University,Single,22,0,27219,3600,0
50000,Female,High School,Single,23,0,44027,8800,0
10000,Female,University,Single,21,-1,8126,1668,0
50000,Female,Graduate School,Single,22,0,8000,1118,0
80000,Female,University,Single,22,1,0,2388,0
30000,Female,University,Married,21,0,28640,1400,0
30000,Female,Graduate School,Single,21,1,33300,0,1
50000,Female,University,Married,22,1,44531,7178,0
50000,Female,University,Single,22,2,50583,2300,0
50000,Female,High School,Married,22,1,20065,1600,0
10000,Female,Graduate School,Single,22,0,7302,1330,0
50000,Female,High School,Single,23,0,32789,1500,0
50000,Female,University,Single,23,1,7181,0,0
10000,Female,University,Single,22,0,7828,1009,0
10000,Female,University,Single,21,2,9917,1400,1
70000,Female,University,Single,22,0,66007,2057,0
20000,Female,University,Single,22,0,17377,1360,0
30000,Female,University,Single,22,2,26243,0,0
30000,Female,Graduate School,Single,22,0,22271,1379,0
50000,Female,High School,Single,23,0,29496,1503,0
100000,Female,University,Married,22,0,100192,3000,0
30000,Female,University,Single,23,0,22756,5000,0
20000,Female,University,Single,22,0,4400,4500,1
50000,Female,Graduate School,Single,23,2,44609,1000,1
30000,Female,University,Married,25,4,37695,0,0
30000,Female,University,Single,23,2,27216,3003,1
30000,Female,University,Single,23,0,23237,10000,0
20000,Female,University,Single,23,1,16674,22362,0
30000,Female,University,Single,23,2,12376,1600,1
50000,Female,Graduate School,Single,23,0,39787,1600,0
80000,Female,University,Married,23,0,54600,3300,0
30000,Female,University,Single,24,1,-5,570,0
10000,Female,University,Single,22,2,7568,1300,0
30000,Female,University,Single,23,0,20059,1641,1
20000,Female,Graduate School,Single,24,-1,1908,1405,0
30000,Female,University,Married,22,0,3118,2414,0
120000,Female,Graduate School,Single,23,0,117035,6000,0
30000,Female,Graduate School,Married,23,0,20340,1400,0
110000,Female,University,Single,23,-1,541,541,0
30000,Female,University,Single,23,0,11284,1503,0
80000,Female,University,Single,23,0,51980,6670,0
20000,Female,Graduate School,Single,23,0,17849,2000,0
170000,Female,High School,Married,23,0,28615,1446,0
120000,Female,Graduate School,Single,24,0,11245,1500,0
30000,Female,University,Single,23,-1,1434,6021,0
50000,Female,Graduate School,Single,23,0,49711,2019,0
200000,Female,University,Married,29,1,0,0,0
30000,Female,Graduate School,Single,23,0,14544,1300,1
90000,Female,University,Single,23,0,11333,4234,0
50000,Female,University,Single,24,0,53159,2000,0
50000,Female,Graduate School,Single,23,0,40111,2252,0
150000,Female,University,Single,24,1,65542,0,0
10000,Female,Graduate School,Single,24,1,6779,0,0
130000,Female,High School,Single,24,0,114466,4600,1
70000,Female,University,Single,23,-1,312,1837,0
40000,Female,Graduate School,Single,23,-1,14310,0,0
200000,Female,University,Single,24,0,52143,1910,0
110000,Female,University,Single,25,1,113385,3900,0
80000,Female,University,Single,25,0,26855,2386,0
90000,Female,Graduate School,Single,24,0,53173,1324,0
30000,Female,University,Single,24,0,27170,2500,0
20000,Female,High School,Single,22,0,16063,1565,0
30000,Female,Graduate School,Single,24,0,21540,1358,0
230000,Female,University,Single,24,-1,1993,2360,1
50000,Female,University,Single,24,-1,1572,1572,0
80000,Female,University,Single,25,0,36841,3900,1
130000,Female,University,Single,25,0,128976,7100,0
150000,Female,Graduate School,Single,25,-1,2784,0,1
80000,Female,High School,Married,25,-2,3377,3377,0
140000,Female,University,Single,26,0,131335,5864,0
150000,Female,Graduate School,Single,26,0,38580,2000,0
50000,Female,University,Single,24,0,50870,1985,0
80000,Female,Graduate School,Single,26,0,62536,3000,0
130000,Female,University,Single,25,0,45134,9000,0
40000,Female,Graduate School,Single,26,-1,1216,776,0
140000,Female,University,Single,24,2,38661,5000,1
30000,Female,Graduate School,Single,25,-1,640,30013,0
500000,Female,University,Single,25,0,37797,3050,0
270000,Female,University,Single,25,0,38525,2000,0
60000,Female,University,Single,23,1,59866,0,0
120000,Female,University,Single,23,3,1250,0,0
130000,Female,University,Single,24,0,35871,1900,0
30000,Female,University,Single,25,1,30937,2500,0
290000,Female,University,Single,25,0,57445,2000,0
30000,Female,Graduate School,Single,24,2,23905,0,1
50000,Female,University,Single,26,0,50952,2700,0
210000,Female,High School,Single,25,0,118408,8600,1
30000,Female,Graduate School,Single,23,2,25366,2000,1
60000,Female,University,Single,23,0,22241,2000,0
50000,Female,High School,Married,23,2,32847,1941,1
80000,Female,Graduate School,Single,23,-1,740,9052,0
50000,Female,University,Single,24,2,41500,0,1
90000,Female,University,Single,23,1,39772,0,0
50000,Female,Graduate School,Single,23,1,-69,7790,1
50000,Female,Graduate School,Single,23,2,49316,4044,1
20000,Female,University,Single,23,0,13291,1600,0
150000,Female,University,Single,23,0,167317,10000,0
110000,Female,University,Single,24,0,98843,3200,0
140000,Female,University,Single,24,-1,22732,6624,0
30000,Female,University,Single,25,0,30523,2000,0
120000,Female,University,Married,25,0,52109,1565,0
80000,Female,University,Single,25,0,77440,3500,0
80000,Female,University,Single,26,0,42933,1000,0
80000,Female,University,Single,25,0,80115,75004,0
50000,Female,University,Married,25,0,7444,326,0
30000,Female,University,Single,22,0,29449,1402,0
80000,Female,High School,Single,22,0,23023,2100,0
30000,Female,University,Single,23,0,28767,1749,1
50000,Female,High School,Single,23,0,13385,1200,0
170000,Female,Graduate School,Single,27,-1,41977,1650,0
80000,Female,High School,Single,27,0,54184,1500,1
210000,Female,University,Single,26,0,15599,1059,0
160000,Female,Graduate School,Single,26,1,100364,0,0
150000,Female,University,Single,26,-1,242,3180,0
70000,Female,High School,Single,24,0,69039,3000,0
60000,Female,High School,Married,23,2,60406,2055,0
50000,Female,University,Single,22,0,45417,2000,0
140000,Female,University,Single,26,2,118425,6000,1
80000,Female,University,Married,26,2,78768,3500,0
80000,Female,University,Married,26,0,40216,1400,0
60000,Female,Graduate School,Single,26,0,36604,1765,0
200000,Female,Graduate School,Single,27,0,86192,15186,0
100000,Female,Graduate School,Single,27,0,19164,5000,0
100000,Female,Graduate School,Single,26,0,81463,4000,0
80000,Female,University,Single,26,0,77760,3100,1
70000,Female,University,Single,22,0,72473,3500,0
80000,Female,University,Single,24,0,19167,3000,0
60000,Female,University,Single,24,0,50840,2100,0
80000,Female,University,Single,24,0,72383,3500,0
50000,Female,University,Married,24,0,48700,2401,0
80000,Female,Graduate School,Single,24,2,79434,3100,1
30000,Female,University,Single,23,0,24607,1700,0
50000,Female,Graduate School,Single,25,0,9162,1500,0
80000,Female,High School,Single,25,0,88786,3200,0
20000,Female,University,Married,21,0,14326,1252,0
80000,Female,University,Married,25,0,79029,4000,0
100000,Female,Graduate School,Single,25,0,90976,4000,0
30000,Female,Graduate School,Single,25,1,14717,0,1
200000,Female,Graduate School,Single,25,0,183516,6700,0
60000,Female,University,Single,25,0,34992,2000,1
170000,Female,University,Others,24,-1,44544,2000,0
20000,Female,Graduate School,Single,24,0,15451,1600,1
230000,Female,Graduate School,Single,25,0,35101,5000,0
50000,Female,University,Single,25,3,66881,0,0
90000,Female,University,Single,25,0,103541,5000,1
70000,Female,Graduate School,Single,25,0,5328,212,0
50000,Female,Graduate School,Single,25,0,44984,3000,0
120000,Female,University,Single,26,0,34183,1700,0
50000,Female,High School,Single,26,2,33457,1900,1
380000,Female,Graduate School,Single,27,-2,0,292,0
140000,Female,Graduate School,Single,27,1,0,2051,1
200000,Female,University,Single,27,0,157768,6000,0
60000,Female,University,Single,26,0,23911,1668,0
80000,Female,High School,Single,25,0,80804,3000,0
270000,Female,Graduate School,Single,28,0,70587,3015,0
150000,Female,University,Single,28,0,25639,2000,0
260000,Female,High School,Single,27,0,106164,3834,0
200000,Female,Others,Married,27,0,185143,7000,0
90000,Female,Graduate School,Single,27,0,61799,2400,0
200000,Female,University,Married,29,1,57982,0,0
200000,Female,High School,Single,29,-1,326,326,0
30000,Female,University,Single,25,0,23657,3300,1
180000,Female,Graduate School,Single,27,0,101395,5000,0
30000,Female,University,Married,28,0,8704,1300,0
520000,Female,Graduate School,Single,28,-1,34167,40054,0
80000,Female,High School,Single,28,-1,1646,4830,0
120000,Female,High School,Married,28,0,57863,5000,0
360000,Female,Graduate School,Single,27,-1,660,663,0
50000,Female,Graduate School,Single,27,0,44402,2000,0
200000,Female,University,Single,27,0,108422,3900,0
30000,Female,University,Single,24,0,23729,10000,1
50000,Female,University,Single,24,0,16691,3500,0
80000,Female,Graduate School,Single,25,-2,4932,2638,0
50000,Female,University,Single,25,0,40114,1000,0
120000,Female,University,Single,26,-1,1682,1929,0
210000,Female,Others,Single,27,1,0,0,0
80000,Female,University,Single,22,0,76405,2780,0
50000,Female,Graduate School,Single,25,0,48408,1774,0
300000,Female,University,Single,25,-2,1800,1800,0
100000,Female,Graduate School,Single,26,0,2405,1214,0
80000,Female,University,Single,26,-1,390,390,1
130000,Female,Graduate School,Single,26,-1,1094,1293,0
80000,Female,University,Single,27,0,20540,1985,0
160000,Female,Graduate School,Single,27,1,0,11700,1
130000,Female,Graduate School,Single,27,0,128137,4000,0
30000,Female,Graduate School,Married,23,-1,6630,3842,0
50000,Female,Graduate School,Single,23,0,9861,1000,0
20000,Female,University,Single,22,0,19583,1300,0
140000,Female,University,Single,23,0,21001,4000,0
180000,Female,Graduate School,Single,25,-1,62798,1867,0
400000,Female,High School,Single,26,0,18256,1300,0
260000,Female,University,Single,26,-1,28,288,0
260000,Female,University,Single,26,0,264249,9800,0
180000,Female,University,Married,26,-1,2406,2410,0
160000,Female,Graduate School,Single,27,1,0,0,0
20000,Female,University,Single,25,2,17496,0,0
30000,Female,University,Married,25,0,28848,2000,0
250000,Female,University,Married,25,0,13358,6000,0
80000,Female,Graduate School,Single,25,0,40764,2000,0
90000,Female,Graduate School,Single,24,0,77860,3292,0
50000,Female,Graduate School,Single,28,-2,0,0,0
210000,Female,Graduate School,Single,27,-1,39397,2000,0
200000,Female,Graduate School,Single,27,0,8666,1224,0
320000,Female,University,Single,28,0,10668,44462,0
200000,Female,Graduate School,Married,32,-2,14202,0,0
80000,Female,University,Married,27,1,3970,0,1
140000,Female,High School,Single,26,0,33236,1785,0
80000,Female,Graduate School,Single,27,0,78178,3437,0
200000,Female,Graduate School,Single,29,0,11347,25000,0
230000,Female,University,Single,30,-1,2374,0,1
230000,Female,Graduate School,Single,28,0,231591,4650,0
20000,Female,High School,Married,26,0,13548,1605,0
90000,Female,University,Married,27,0,91367,2121,0
130000,Female,University,Married,26,2,5169,1300,1
320000,Female,University,Single,29,-2,5118,6783,0
30000,Female,University,Single,29,2,36328,0,0
240000,Female,Graduate School,Single,29,2,32870,2000,1
360000,Female,Graduate School,Single,29,-1,885,10553,0
30000,Female,Graduate School,Single,28,0,13568,3166,0
240000,Female,High School,Single,28,2,242837,10000,1
320000,Female,Graduate School,Single,28,-2,0,0,0
410000,Female,Graduate School,Single,28,0,210866,2444,0
220000,Female,University,Single,29,0,43596,6000,0
240000,Female,Graduate School,Single,26,-2,0,0,0
200000,Female,Graduate School,Single,26,-2,2232,3967,0
80000,Female,Others,Single,25,0,72732,3201,0
20000,Female,Graduate School,Single,25,0,17977,2000,0
20000,Female,Graduate School,Single,24,-1,4687,15000,0
300000,Female,University,Single,26,-1,1121,699,0
340000,Female,Graduate School,Single,26,1,17211,2637,0
300000,Female,University,Single,27,0,15024,1200,0
350000,Female,Graduate School,Single,26,-2,0,0,0
20000,Female,Graduate School,Single,24,2,18466,1500,1
90000,Female,Graduate School,Single,24,0,69542,2366,0
80000,Female,University,Married,27,0,77039,2984,1
20000,Female,University,Married,28,0,6064,1120,0
240000,Female,Graduate School,Single,28,0,203850,7500,0
150000,Female,Graduate School,Single,27,-1,942,0,1
100000,Female,Graduate School,Single,27,0,40576,1977,1
150000,Female,University,Married,24,1,-122,16924,0
50000,Female,Graduate School,Single,27,0,45190,5277,0
260000,Female,Graduate School,Single,27,0,109588,5000,0
140000,Female,Graduate School,Single,27,0,128656,6000,0
30000,Female,Graduate School,Single,24,-1,25616,31348,0
90000,Female,University,Single,23,0,11989,7000,0
50000,Female,University,Married,23,0,5215,1106,1
230000,Female,University,Single,31,-1,10190,49777,0
70000,Female,High School,Married,30,2,55352,2600,1
300000,Female,Graduate School,Single,30,0,53377,2500,0
300000,Female,Graduate School,Single,27,-1,4850,42198,0
110000,Female,Graduate School,Single,29,0,105102,5289,1
30000,Female,University,Single,27,0,4512,2205,0
20000,Female,University,Single,27,2,17311,0,1
30000,Female,Graduate School,Single,22,-1,846,3173,0
350000,Female,Graduate School,Single,31,0,49184,20738,0
200000,Female,Graduate School,Single,30,-1,10225,9468,0
200000,Female,Graduate School,Single,31,-2,10742,165,0
50000,Female,University,Married,26,0,41891,1781,0
100000,Female,University,Single,26,2,88728,0,1
140000,Female,University,Single,26,0,22844,1119,0
50000,Female,High School,Single,22,0,46476,2000,0
50000,Female,Graduate School,Single,22,0,38393,2000,0
160000,Female,Graduate School,Single,27,0,97375,20000,0
170000,Female,University,Single,28,0,30860,304815,0
160000,Female,Graduate School,Single,28,0,40854,1676,0
100000,Female,High School,Single,28,3,1250,0,0
100000,Female,Graduate School,Single,29,0,94378,6000,0
200000,Female,University,Single,23,0,61650,0,1
360000,Female,Graduate School,Single,27,0,297275,20000,0
160000,Female,Graduate School,Single,27,0,159460,10000,0
500000,Female,Graduate School,Single,30,0,137243,5000,0
50000,Female,Graduate School,Single,30,0,45977,1823,0
90000,Female,University,Single,25,0,86830,9000,0
300000,Female,University,Single,25,-2,780,390,0
120000,Female,Graduate School,Single,28,0,50477,3500,1
300000,Female,Graduate School,Single,28,-1,14033,6520,1
500000,Female,Graduate School,Single,28,0,19543,5110,0
50000,Female,University,Married,28,0,15314,1269,0
20000,Female,University,Married,26,0,18141,1600,0
240000,Female,Graduate School,Single,27,0,118175,0,0
210000,Female,University,Single,27,0,46066,1951,0
50000,Female,High School,Married,24,1,-1037,0,0
50000,Female,University,Single,25,0,42684,2000,0
60000,Female,Graduate School,Single,25,-1,1507,0,0
310000,Female,University,Single,28,0,311380,11264,0
140000,Female,Graduate School,Single,28,0,47547,9532,1
320000,Female,University,Married,27,-2,1175,0,0
90000,Female,University,Married,27,0,20461,1649,0
280000,Female,University,Married,27,0,280913,11052,0
80000,Female,High School,Married,25,0,3525,1654,1
170000,Female,Graduate School,Single,25,0,170950,6014,0
240000,Female,University,Married,30,1,0,0,1
30000,Female,Graduate School,Married,23,2,25665,1433,1
120000,Female,University,Single,24,0,69725,3008,0
50000,Female,University,Single,23,0,48424,1500,0
10000,Female,University,Single,23,0,6969,1300,0
80000,Female,Graduate School,Single,24,0,56222,2000,0
170000,Female,Graduate School,Single,28,0,42062,2000,0
360000,Female,University,Single,28,-2,-307,0,1
110000,Female,Graduate School,Married,33,2,24178,1700,1
210000,Female,University,Married,34,0,14724,2000,0
150000,Female,Others,Married,34,0,83000,5000,0
200000,Female,University,Married,34,-2,17822,19855,0
140000,Female,University,Single,26,0,271896,14000,1
80000,Female,University,Single,27,-1,45198,2000,1
240000,Female,High School,Married,24,0,136760,90000,0
50000,Female,University,Married,29,0,48529,3000,0
80000,Female,Graduate School,Single,28,0,39663,1664,0
70000,Female,Others,Married,24,0,47663,1000,0
50000,Female,Graduate School,Single,24,-1,3258,0,0
180000,Female,Graduate School,Single,28,0,6396,7000,0
110000,Female,Graduate School,Single,29,0,107336,5320,0
300000,Female,University,Married,29,0,321155,11369,1
210000,Female,Others,Single,29,0,43933,2000,0
200000,Female,Graduate School,Single,29,0,7298,1000,0
100000,Female,University,Married,28,1,0,0,1
70000,Female,High School,Single,31,2,68174,3200,1
250000,Female,Graduate School,Single,31,0,67492,3500,0
600000,Female,Graduate School,Single,31,-2,-84,700,0
320000,Female,University,Married,31,0,2437,1100,0
180000,Female,University,Single,31,0,180754,3085,0
110000,Female,Graduate School,Single,27,0,69970,4009,0
20000,Female,Graduate School,Single,22,1,18761,0,0
60000,Female,High School,Single,22,-1,4049,1815,0
320000,Female,University,Single,30,-1,3690,3720,0
320000,Female,Graduate School,Single,29,0,42596,1955,0
110000,Female,University,Single,29,0,113003,5837,0
80000,Female,High School,Single,28,0,71834,3200,0
500000,Female,High School,Single,29,0,110651,3005,0
190000,Female,High School,Single,31,-1,1568,87,0
80000,Female,University,Single,27,0,23424,5000,0
90000,Female,Graduate School,Married,29,0,4034,10400,0
140000,Female,High School,Single,29,0,177535,14500,0
200000,Female,Graduate School,Single,31,1,0,896,0
250000,Female,Graduate School,Married,31,-1,2198,7404,0
260000,Female,Graduate School,Married,32,1,0,0,0
220000,Female,University,Single,28,-1,3700,0,1
110000,Female,University,Single,29,0,50268,1400,0
210000,Female,University,Single,27,0,83381,3100,0
380000,Female,University,Married,30,0,295618,13437,0
120000,Female,Graduate School,Single,26,1,-93,1029,0
60000,Female,Graduate School,Single,25,0,56136,2100,0
100000,Female,University,Single,24,3,81601,0,1
20000,Female,Graduate School,Single,24,0,19167,1585,0
30000,Female,University,Single,25,0,19309,1325,1
50000,Female,Graduate School,Single,26,0,48338,3008,0
200000,Female,Graduate School,Single,26,0,71574,5000,1
210000,Female,Graduate School,Single,25,-1,390,390,0
240000,Female,University,Single,25,-2,0,0,0
150000,Female,High School,Single,33,0,9516,1100,0
330000,Female,Graduate School,Single,34,-2,4577,8400,0
280000,Female,University,Single,34,-1,38,34163,0
210000,Female,Graduate School,Single,33,1,0,0,0
400000,Female,Graduate School,Married,34,-2,10000,10000,0
200000,Female,Graduate School,Single,33,0,147178,7300,0
60000,Female,University,Married,32,0,59738,2700,0
50000,Female,University,Married,34,0,2791,2000,0
360000,Female,Graduate School,Single,31,-2,304,8288,0
300000,Female,Graduate School,Single,31,-2,1555,1603,0
10000,Female,University,Single,33,-2,-216,3000,0
420000,Female,Graduate School,Married,32,-1,8871,358,0
220000,Female,High School,Single,32,0,209259,7000,0
130000,Female,University,Married,34,2,28967,2500,1
200000,Female,Graduate School,Married,34,-2,0,0,0
50000,Female,Graduate School,Single,33,2,31652,3400,0
300000,Female,University,Married,33,0,248832,11000,0
120000,Female,University,Married,44,-1,390,0,1
360000,Female,Graduate School,Single,35,-1,1475,14200,0
50000,Female,High School,Married,35,1,0,0,0
230000,Female,Graduate School,Single,37,1,-152,0,0
50000,Female,University,Married,37,0,48596,2152,0
30000,Female,University,Married,38,0,28751,2588,0
150000,Female,High School,Married,45,2,179441,7333,1
70000,Female,High School,Married,44,0,9195,1041,0
320000,Female,Graduate School,Single,35,0,44566,2054,0
330000,Female,Graduate School,Married,41,1,0,0,1
120000,Female,University,Married,37,0,106469,5400,0
360000,Female,Graduate School,Married,36,-2,13686,1992,0
30000,Female,University,Married,40,1,29002,0,0
150000,Female,High School,Single,39,0,60115,1662,0
30000,Female,University,Single,49,2,17667,1500,1
150000,Female,University,Married,46,0,77066,2094,0
470000,Female,Graduate School,Married,37,-1,12572,5305,0
